timestamp,temperature,humidity
2025-03-16 13:44:19,22.1,48.2
2025-03-16 13:44:20,22.1,48.2
2025-03-16 13:44:22,22.1,48.2
2025-03-16 13:44:23,22.1,48.2
2025-03-16 13:44:24,22.1,48.2
2025-03-16 13:44:25,22.1,48.3
2025-03-16 13:44:27,22.1,48.2
2025-03-16 13:44:28,22.1,48.2
2025-03-16 13:44:29,22.1,48.2
2025-03-16 13:44:31,22.1,48.4
2025-03-16 13:44:32,22.1,48.2
2025-03-16 13:44:33,22.1,48.4
2025-03-16 13:44:34,22.1,48.4
2025-03-16 13:44:36,22.1,48.4
2025-03-16 13:44:37,22.1,48.2
2025-03-16 13:44:38,22.1,49.2
2025-03-16 13:44:39,22.1,51.7
2025-03-16 13:44:41,22.1,54.7
2025-03-16 13:44:42,22.1,57.3
2025-03-16 13:44:43,22.2,59.4
2025-03-16 13:44:45,22.2,61.0
2025-03-16 13:44:46,22.3,62.4
2025-03-16 13:44:47,22.3,63.7
2025-03-16 13:44:48,22.3,64.5
2025-03-16 13:44:50,22.4,65.1
2025-03-16 13:44:51,22.4,65.8
2025-03-16 13:44:52,22.5,66.1
2025-03-16 13:44:53,22.5,66.3
2025-03-16 13:44:55,22.6,66.4
2025-03-16 13:44:56,22.6,66.6
2025-03-16 13:44:57,22.7,66.8
2025-03-16 13:44:59,22.7,66.9
2025-03-16 13:45:00,22.8,67.0
2025-03-16 13:45:01,22.8,66.7
2025-03-16 13:45:02,22.9,66.8
2025-03-16 13:45:04,22.9,67.0
2025-03-16 13:45:05,23.0,67.1
2025-03-16 13:45:06,23.0,67.1
2025-03-16 13:45:07,23.1,67.1
2025-03-16 13:45:09,23.2,65.8
2025-03-16 13:45:10,23.2,63.4
2025-03-16 13:45:11,23.3,60.8
2025-03-16 13:45:13,23.3,58.5
2025-03-16 13:45:14,23.3,56.4
2025-03-16 13:45:15,23.4,54.7
2025-03-16 13:45:16,23.4,53.1
2025-03-16 13:45:18,23.5,51.7
2025-03-16 13:45:19,23.5,50.8
2025-03-16 13:45:20,23.5,50.1
2025-03-16 13:45:21,23.6,49.5
2025-03-16 13:45:23,23.6,48.9
2025-03-16 13:45:24,23.6,48.4
2025-03-16 13:45:25,23.6,48.0
2025-03-16 13:45:27,23.7,47.8
2025-03-16 13:45:28,23.7,47.4
2025-03-16 13:45:29,23.7,47.1
2025-03-16 13:45:30,23.7,46.9
2025-03-16 13:45:32,23.7,46.8
2025-03-16 13:45:33,23.7,46.7
2025-03-16 13:45:34,23.7,46.6
2025-03-16 13:45:35,23.7,46.4
2025-03-16 13:45:37,23.7,46.3
2025-03-16 13:45:38,23.8,46.3
2025-03-16 13:45:39,23.8,46.1
2025-03-16 13:45:41,23.8,46.1
2025-03-16 13:45:42,23.8,46.1
2025-03-16 13:45:43,23.8,45.9
2025-03-16 13:45:44,23.8,45.8
